Datetime,Price,Quantity
2024-12-06 09:38:17.381,98288.3,0.002
2024-12-06 09:38:17.381,98287.8,0.016
2024-12-06 09:38:17.381,98287.6,0.005
2024-12-06 09:38:17.381,98287.3,0.019
2024-12-06 09:38:17.381,98286.9,0.005
2024-12-06 09:38:17.381,98286.8,0.004
2024-12-06 09:38:17.381,98286.6,0.027
2024-12-06 09:38:17.383,98286.4,0.018
2024-12-06 09:38:17.486,98286.4,0.002
2024-12-06 09:38:17.500,98286.3,0.003
2024-12-06 09:38:17.505,98286.4,0.083
2024-12-06 09:38:17.533,98286.3,0.096
2024-12-06 09:38:17.595,98286.4,0.008
2024-12-06 09:38:17.810,98286.3,0.028
2024-12-06 09:38:17.822,98285.8,0.007
2024-12-06 09:38:17.823,98285.7,0.005
2024-12-06 09:38:17.843,98285.0,0.018
2024-12-06 09:38:17.843,98284.8,0.002
2024-12-06 09:38:17.843,98284.6,0.003
2024-12-06 09:38:17.843,98284.5,0.005
2024-12-06 09:38:17.845,98284.1,0.016
2024-12-06 09:38:17.845,98284.0,0.005
2024-12-06 09:38:17.879,98282.3,0.004
2024-12-06 09:38:17.891,98282.2,0.002
2024-12-06 09:38:17.891,98282.1,0.005
2024-12-06 09:38:17.891,98281.7,0.007
2024-12-06 09:38:18.388,98281.7,0.049
2024-12-06 09:38:18.388,98281.3,0.005
2024-12-06 09:38:18.388,98280.8,0.028
2024-12-06 09:38:18.395,98280.9,0.02
2024-12-06 09:38:18.403,98280.6,0.03
2024-12-06 09:38:18.407,98280.4,0.03
2024-12-06 09:38:18.578,98280.4,0.002
2024-12-06 09:38:18.597,98280.3,0.002
2024-12-06 09:38:18.916,98280.3,0.014
2024-12-06 09:38:19.138,98280.3,0.015
2024-12-06 09:38:19.349,98280.3,0.014
2024-12-06 09:38:19.349,98280.0,0.007
2024-12-06 09:38:19.349,98279.9,0.002
2024-12-06 09:38:19.349,98278.8,0.002
2024-12-06 09:38:19.349,98278.5,0.007
2024-12-06 09:38:19.349,98278.0,0.002
2024-12-06 09:38:19.349,98276.8,0.026
2024-12-06 09:38:19.349,98276.7,0.005
2024-12-06 09:38:19.349,98276.5,0.002
2024-12-06 09:38:19.349,98276.0,0.002
2024-12-06 09:38:19.349,98275.2,0.002
2024-12-06 09:38:19.349,98275.0,0.01
2024-12-06 09:38:19.349,98274.9,0.005
2024-12-06 09:38:19.349,98274.5,0.011
2024-12-06 09:38:19.349,98274.4,0.074
2024-12-06 09:38:19.349,98274.1,0.002
2024-12-06 09:38:19.349,98273.6,0.043
2024-12-06 09:38:19.349,98273.0,0.046
2024-12-06 09:38:19.349,98272.8,0.005
2024-12-06 09:38:19.349,98272.6,0.004
2024-12-06 09:38:19.349,98272.5,0.064
2024-12-06 09:38:19.535,98272.6,0.002
2024-12-06 09:38:19.671,98272.5,0.014
2024-12-06 09:38:19.985,98272.5,0.003
2024-12-06 09:38:20.006,98272.6,0.001
2024-12-06 09:38:20.037,98272.5,0.014
2024-12-06 09:38:20.250,98272.5,0.014
2024-12-06 09:38:20.261,98272.6,0.001
2024-12-06 09:38:20.289,98272.5,0.002
2024-12-06 09:38:20.330,98272.6,0.022
2024-12-06 09:38:20.688,98272.6,0.061
2024-12-06 09:38:20.883,98272.6,0.002
2024-12-06 09:38:21.054,98272.6,0.004
2024-12-06 09:38:21.278,98272.6,0.012
2024-12-06 09:38:21.353,98272.5,0.002
2024-12-06 09:38:22.197,98272.6,0.012
2024-12-06 09:38:22.307,98272.6,0.121
2024-12-06 09:38:22.433,98272.6,0.001
2024-12-06 09:38:22.564,98272.6,0.014
2024-12-06 09:38:22.705,98272.5,0.008
2024-12-06 09:38:22.872,98272.6,0.004
2024-12-06 09:38:23.058,98272.6,0.013
2024-12-06 09:38:23.168,98272.6,1.429
2024-12-06 09:38:23.199,98274.0,0.004
2024-12-06 09:38:23.199,98274.5,0.002
2024-12-06 09:38:23.199,98274.9,0.005
2024-12-06 09:38:23.199,98275.9,0.002
2024-12-06 09:38:23.199,98276.1,0.016
2024-12-06 09:38:23.199,98276.3,0.009
2024-12-06 09:38:23.199,98276.7,0.005
2024-12-06 09:38:23.199,98276.8,0.031
2024-12-06 09:38:23.200,98277.6,0.002
2024-12-06 09:38:23.208,98277.9,0.002
2024-12-06 09:38:23.208,98278.1,0.01
2024-12-06 09:38:23.235,98278.5,0.005
2024-12-06 09:38:23.258,98279.3,0.005
2024-12-06 09:38:23.274,98279.9,0.002
2024-12-06 09:38:23.280,98280.1,0.03
2024-12-06 09:38:23.290,98280.3,0.005
2024-12-06 09:38:23.290,98280.9,0.102
2024-12-06 09:38:23.295,98281.7,0.024
2024-12-06 09:38:23.295,98281.8,0.028
2024-12-06 09:38:23.328,98282.0,0.005
2024-12-06 09:38:23.344,98282.1,0.018
2024-12-06 09:38:24.254,98282.0,0.066
2024-12-06 09:38:24.505,98282.1,0.035
2024-12-06 09:38:24.866,98282.0,0.005
2024-12-06 09:38:24.897,98282.1,0.03
2024-12-06 09:38:25.005,98282.0,0.127
2024-12-06 09:38:25.096,98282.1,0.124
2024-12-06 09:38:25.206,98282.0,0.003
2024-12-06 09:38:25.231,98282.1,0.021
2024-12-06 09:38:25.475,98282.0,0.079
2024-12-06 09:38:25.537,98282.1,0.004
2024-12-06 09:38:25.749,98282.1,0.011
2024-12-06 09:38:26.101,98282.0,0.036
2024-12-06 09:38:26.101,98282.1,0.478
2024-12-06 09:38:26.205,98282.1,0.085
2024-12-06 09:38:26.205,98282.4,0.007
