Price,Quantity,Datetime,Type
101138.2,0.005,2024-12-14 01:17:19,Bid
101138.0,0.019,2024-12-14 01:17:19,Bid
101137.9,0.01,2024-12-14 01:17:19,Bid
101137.8,0.053,2024-12-14 01:17:19,Bid
101137.7,0.074,2024-12-14 01:17:19,Bid
101137.6,0.002,2024-12-14 01:17:19,Bid
101137.5,0.049,2024-12-14 01:17:19,Bid
101137.4,0.227,2024-12-14 01:17:19,Bid
101137.3,0.002,2024-12-14 01:17:19,Bid
101137.0,0.498,2024-12-14 01:17:19,Bid
101136.9,0.636,2024-12-14 01:17:19,Bid
101136.8,0.479,2024-12-14 01:17:19,Bid
101136.7,0.003,2024-12-14 01:17:19,Bid
101136.6,0.812,2024-12-14 01:17:19,Bid
101136.5,0.028,2024-12-14 01:17:19,Bid
101136.3,0.013,2024-12-14 01:17:19,Bid
101136.2,0.004,2024-12-14 01:17:19,Bid
101136.1,0.033,2024-12-14 01:17:19,Bid
101136.0,0.01,2024-12-14 01:17:19,Bid
101135.9,0.174,2024-12-14 01:17:19,Bid
101135.8,0.35,2024-12-14 01:17:19,Bid
101135.6,0.002,2024-12-14 01:17:19,Bid
101135.4,0.002,2024-12-14 01:17:19,Bid
101135.3,0.012,2024-12-14 01:17:19,Bid
101135.2,0.012,2024-12-14 01:17:19,Bid
101135.1,0.012,2024-12-14 01:17:19,Bid
101135.0,0.04,2024-12-14 01:17:19,Bid
101134.8,0.002,2024-12-14 01:17:19,Bid
101134.6,0.001,2024-12-14 01:17:19,Bid
101134.5,0.014,2024-12-14 01:17:19,Bid
101134.4,0.065,2024-12-14 01:17:19,Bid
101134.3,0.028,2024-12-14 01:17:19,Bid
101134.2,0.031,2024-12-14 01:17:19,Bid
101134.1,0.077,2024-12-14 01:17:19,Bid
101134.0,0.021,2024-12-14 01:17:19,Bid
101133.8,0.019,2024-12-14 01:17:19,Bid
101133.7,0.012,2024-12-14 01:17:19,Bid
101133.6,0.17,2024-12-14 01:17:19,Bid
101133.5,0.013,2024-12-14 01:17:19,Bid
101133.3,0.019,2024-12-14 01:17:19,Bid
101133.1,0.16,2024-12-14 01:17:19,Bid
101133.0,0.003,2024-12-14 01:17:19,Bid
101132.8,0.095,2024-12-14 01:17:19,Bid
101132.6,0.001,2024-12-14 01:17:19,Bid
101132.5,0.001,2024-12-14 01:17:19,Bid
101132.2,0.004,2024-12-14 01:17:19,Bid
101132.1,0.006,2024-12-14 01:17:19,Bid
101131.9,0.001,2024-12-14 01:17:19,Bid
101131.8,0.004,2024-12-14 01:17:19,Bid
101131.7,0.061,2024-12-14 01:17:19,Bid
101131.6,0.005,2024-12-14 01:17:19,Bid
101131.4,0.012,2024-12-14 01:17:19,Bid
101131.3,0.011,2024-12-14 01:17:19,Bid
101131.2,0.834,2024-12-14 01:17:19,Bid
101131.1,0.007,2024-12-14 01:17:19,Bid
101131.0,0.941,2024-12-14 01:17:19,Bid
101130.9,0.792,2024-12-14 01:17:19,Bid
101130.8,0.032,2024-12-14 01:17:19,Bid
101130.7,0.874,2024-12-14 01:17:19,Bid
101130.6,0.297,2024-12-14 01:17:19,Bid
101130.5,0.101,2024-12-14 01:17:19,Bid
101130.4,0.001,2024-12-14 01:17:19,Bid
101130.3,0.035,2024-12-14 01:17:19,Bid
101130.2,0.01,2024-12-14 01:17:19,Bid
101130.1,0.191,2024-12-14 01:17:19,Bid
101130.0,0.132,2024-12-14 01:17:19,Bid
101129.6,1.614,2024-12-14 01:17:19,Bid
101129.3,0.804,2024-12-14 01:17:19,Bid
101129.1,0.037,2024-12-14 01:17:19,Bid
101129.0,0.03,2024-12-14 01:17:19,Bid
101128.9,0.016,2024-12-14 01:17:19,Bid
101128.8,0.012,2024-12-14 01:17:19,Bid
101128.7,0.073,2024-12-14 01:17:19,Bid
101128.6,0.003,2024-12-14 01:17:19,Bid
101128.5,0.003,2024-12-14 01:17:19,Bid
101128.2,0.004,2024-12-14 01:17:19,Bid
101128.0,0.474,2024-12-14 01:17:19,Bid
101127.8,0.007,2024-12-14 01:17:19,Bid
101127.7,0.018,2024-12-14 01:17:19,Bid
101127.6,0.012,2024-12-14 01:17:19,Bid
101127.4,0.003,2024-12-14 01:17:19,Bid
101127.3,0.174,2024-12-14 01:17:19,Bid
101127.2,0.137,2024-12-14 01:17:19,Bid
101127.0,0.012,2024-12-14 01:17:19,Bid
101126.9,0.004,2024-12-14 01:17:19,Bid
101126.8,0.002,2024-12-14 01:17:19,Bid
101126.7,0.208,2024-12-14 01:17:19,Bid
101126.6,1.123,2024-12-14 01:17:19,Bid
101126.5,1.61,2024-12-14 01:17:19,Bid
101126.4,0.012,2024-12-14 01:17:19,Bid
101126.3,0.012,2024-12-14 01:17:19,Bid
101126.2,0.09,2024-12-14 01:17:19,Bid
101126.1,0.111,2024-12-14 01:17:19,Bid
101126.0,0.002,2024-12-14 01:17:19,Bid
101125.9,0.012,2024-12-14 01:17:19,Bid
101125.8,0.882,2024-12-14 01:17:19,Bid
101125.7,0.098,2024-12-14 01:17:19,Bid
101125.6,0.194,2024-12-14 01:17:19,Bid
101125.5,0.442,2024-12-14 01:17:19,Bid
101125.4,0.005,2024-12-14 01:17:19,Bid
101125.3,0.087,2024-12-14 01:17:19,Bid
101125.2,0.036,2024-12-14 01:17:19,Bid
101125.1,0.031,2024-12-14 01:17:19,Bid
101125.0,0.051,2024-12-14 01:17:19,Bid
101124.9,0.012,2024-12-14 01:17:19,Bid
101124.7,0.014,2024-12-14 01:17:19,Bid
101124.5,0.05,2024-12-14 01:17:19,Bid
101124.4,0.005,2024-12-14 01:17:19,Bid
101124.3,0.298,2024-12-14 01:17:19,Bid
101124.2,1.735,2024-12-14 01:17:19,Bid
101124.1,0.027,2024-12-14 01:17:19,Bid
101124.0,0.1,2024-12-14 01:17:19,Bid
101123.9,0.028,2024-12-14 01:17:19,Bid
101123.8,0.035,2024-12-14 01:17:19,Bid
101123.7,0.003,2024-12-14 01:17:19,Bid
101123.6,0.014,2024-12-14 01:17:19,Bid
101123.5,0.055,2024-12-14 01:17:19,Bid
101123.4,0.013,2024-12-14 01:17:19,Bid
101123.3,0.036,2024-12-14 01:17:19,Bid
101123.2,0.048,2024-12-14 01:17:19,Bid
101123.1,0.001,2024-12-14 01:17:19,Bid
101123.0,1.525,2024-12-14 01:17:19,Bid
101122.9,0.016,2024-12-14 01:17:19,Bid
101122.8,0.227,2024-12-14 01:17:19,Bid
101122.5,0.02,2024-12-14 01:17:19,Bid
